id,run_date,run_type,scope,records_added,records_updated,records_flagged,status,next_target,notes
11,2026-06-26,daily_collect,Office contacts for 30 Union Ministers + 30 Chief Ministers + 34 Governors/LGs (phone + official email) attached to their positions,181,0,0,completed,Remaining 35 state cabinets; ministry Secretaries; districts; local bodies,"Source: SarkariTel Council-of-Ministers, Chief-Ministers, Governors directories. Attached to POSITIONS not persons (directory had some stale name fields); skipped clearly mis-scraped emails/phones. Contacts coverage now 132/265 offices."
12,2026-06-26,daily_collect,"State cabinets wave: Maharashtra (38), Madhya Pradesh (24), Rajasthan (21), Gujarat (24), Karnataka (30) - all wired under their CMs",137,0,0,completed,"Next states: Bihar, West Bengal, Tamil Nadu, Andhra Pradesh, Telangana, Odisha, Kerala, then the rest",Sources: respective state ministry Wikipedia articles (current incumbents). 6 of ~30 state/UT cabinets now complete (incl. UP).
13,2026-06-26,daily_collect,"State cabinets wave 2: Bihar (32), Tamil Nadu (33), Andhra Pradesh (23), Telangana (14), West Bengal (40). DETECTED + applied West Bengal govt change: Suvendu Adhikari (BJP) now CM since 9 May 2026, Mamata appointment closed",144,2,0,completed,"Remaining cabinets: Odisha, Kerala, Jharkhand, Assam, Punjab, Chhattisgarh, Haryana, Delhi, J&K, Uttarakhand, HP, NE states, Goa, Puducherry",Sources: respective state ministry Wikipedia articles. 11 of ~30 cabinets done. Cross-state name dedup disabled to keep same-named ministers distinct.
14,2026-06-26,daily_collect,"State cabinets wave 3: Odisha (13), Jharkhand (10), Punjab (15), Chhattisgarh (11), Haryana (14), Assam (18). PLUS major correction: verified 4 May 2026 election results - Tamil Nadu DMK cabinet marked historical (TVK/Vijay won), TN+Kerala CMs updated",84,37,0,completed,"New cabinets for TN (TVK) and Kerala (UDF); then Delhi, J&K, Uttarakhand, HP, Goa, Puducherry, NE states",Sources: state ministry articles + Britannica 2026 election results. 16 states/UTs now have a CURRENT cabinet. 35 TN DMK-minister appointments closed (history preserved). Confidence 0.75 on new-govt CMs (TN/Kerala) pending official confirmation.
15,2026-06-26,daily_collect,"State cabinets wave 4+5: Delhi (6), Himachal (9), Uttarakhand (11), Goa (10), J&K (4), Tripura (11), Meghalaya (9), Puducherry (5), Manipur (2), Nagaland (9), Arunachal (10), Mizoram (10), Sikkim (11)",107,0,0,completed,Publish TN (TVK) + Kerala (UDF) cabinets when released; ministry Secretaries; districts; local bodies; remaining contacts,"Sources: respective state ministry Wikipedia/official-assembly articles. PHASE 3B COMPLETE - 29 of 31 assembly states/UTs have a current cabinet. Only TN & Kerala pending (new govts, cabinets not yet published)."
16,2026-06-26,daily_collect,PHASE 5 district skeleton: all 785 districts added as jurisdictions + District Magistrate/Collector office + Superintendent of Police office for each (2 offices/district),2355,0,1570,completed,"Fill DM/SP officer names from district NIC sites (Chrome); district dept officers + contacts; then local bodies (municipal corporations, panchayats)",Source: List of districts of India (Wikipedia). DM reports to state Chief Secretary; SP reports to DM. 1570 officer names left PENDING (not fabricated - they change often). Full geographic coverage to district level now in place.
17,2026-06-26,daily_collect,PHASE 6 urban local bodies: 238 Municipal Corporations added + Mayor office + Municipal Commissioner office each (476 offices),714,0,476,completed,Fill Mayor/Commissioner names + corp contacts (Chrome); municipalities & panchayats; remaining district officer names,"Source: List of municipal corporations in India (Wikipedia). 170 corps linked to their district, 68 to state. Commissioner reports to district DM/state CS. Names left PENDING. Structural skeleton now spans Union->State->District->City."
18,2026-06-26,daily_collect,"Filled the two pending new-govt cabinets: Tamil Nadu (34, TVK/Vijay govt) + Kerala (20, UDF/Satheesan govt)",108,0,0,completed,Fill district/city officer names (Chrome); state minister contacts; municipalities & panchayats,Sources: C. Joseph Vijay ministry + Satheesan ministry (Wikipedia). ALL 31 assembly states/UTs now have a current cabinet. 5 administrator-run UTs have no cabinet by design.
19,2026-06-26,daily_collect,District Collectors filled: Maharashtra (36) + Gujarat (34) - names + official office phone/email per district,201,70,8,completed,"Continue district Collectors: Rajasthan, MP, Karnataka, UP, then remaining states; then SPs","Source: SarkariTel state collector directories + district NIC sites. 66 DM names + 135 office contacts added. A few names left blank where May 2026 IAS reshuffle left officeholder unconfirmed (Junagadh, Surat, Mahisagar, Valsad)."
20,2026-06-26,daily_collect,District Collectors filled: Rajasthan (40) + Madhya Pradesh (55) - names + office phone/email,274,0,9,completed,"Continue: Karnataka, UP, then remaining states; then SPs + corporation Mayors/Commissioners","Sources: Rajasthan Collector&ADM list (election.rajasthan.gov.in 14.05.2026), MP NIC sites. 91 names + 183 contacts. 157 of 785 DM offices now have a named officer. Conflicts from May/Apr 2026 IAS reshuffles flagged; a few names left blank."
21,2026-06-26,daily_collect,District Collectors filled: Karnataka (31) + Uttar Pradesh (75) - names + office phone/email,311,0,0,completed,"Continue DMs: Bihar, TN, AP, Telangana, WB, Odisha, Punjab, Haryana, NE states; then SPs + corp Mayors/Commissioners","Sources: SarkariTel KA/UP directories + district NIC sites. 104 names + 207 contacts. 261 of 785 DM offices now have a named officer (6 states done: MH, GJ, RJ, MP, KA, UP)."
22,2026-06-26,daily_collect,"District Collectors filled: Bihar (37), Tamil Nadu (38), Telangana (33) - names + office phone/email",305,0,7,completed,"AP (retry), WB, Odisha, Punjab, Haryana, Jharkhand, Assam, Chhattisgarh, HP, UK, NE states; then SPs","Sources: state collector directories + NIC sites. 104 names + 201 contacts. 365 of 785 DM offices filled (9 states: MH GJ RJ MP KA UP BR TN TG). A few names blank where 2026 reshuffles left officeholder unconfirmed (Madhubani, Chengalpattu, Kallakurichi, Tenkasi)."
23,2026-06-26,daily_collect,"District Collectors filled: Andhra Pradesh (26), West Bengal (22), Odisha (30) - names + office phone/email",233,0,2,completed,"Punjab, Haryana, Jharkhand, Chhattisgarh, Assam, HP, UK, Goa, NE states, J&K, Delhi, Puducherry; then SPs","Sources: wb.gov.in DM PDF, AP/Odisha collector directories + NIC. 77 names + 156 contacts. 442 of 785 DM offices filled (12 states). Kolkata has no DM (administered separately); 1 AP name leak blanked."
24,2026-06-26,daily_collect,"District Collectors filled: Punjab (23), Haryana (22), Jharkhand (24), Chhattisgarh (33) - names + office phone/email",299,0,6,completed,"Assam, HP, Uttarakhand, J&K, Delhi, Goa, Sikkim, NE states, Puducherry; then SPs + corp Mayors","Sources: state DC directories + NIC + Jharkhand SEC PDF. 98 names + 201 contacts. 540 of 785 DM offices filled (16 states). A few names blank (Giridih, Jamtara, Jashpur, Koriya, Hoshiarpur) where reshuffle left officeholder unconfirmed."
25,2026-06-26,daily_collect,"District Collectors filled: Assam (35), Himachal (12), Uttarakhand (13), J&K (20) - names + office phone/email",234,0,5,completed,"NE states (Arunachal, Manipur, Nagaland, Meghalaya, Mizoram, Tripura, Sikkim), Delhi, Goa, Puducherry, UT districts; then SPs","Sources: state DC directories + NIC. 80 names + 154 contacts. 620 of 785 DM offices filled (20 states). web_fetch rate-limited; data via official-page search snippets, office contacts stable."
26,2026-06-26,daily_collect,"District DCs filled: Arunachal (26), Manipur (15), Nagaland (17), Meghalaya (12) - names + office phone/email",174,0,12,completed,"Mizoram, Tripura, Sikkim, Delhi, Goa, Puducherry, UT districts; then SPs + corp Mayors",Sources: district NIC sites + IPR/SDMA directories. 66 names + 108 contacts. 686 of 785 DM offices filled (24 states). Several NE names blank where reshuffle/temp-charge left officeholder unconfirmed.
27,2026-06-26,daily_collect,"District DMs filled: Mizoram (11), Tripura (8), Sikkim (6), Delhi (11) - names + office phone/email",98,0,7,completed,"Goa, Puducherry, UT districts (A&N, Chandigarh, DNH&DD, Ladakh, Lakshadweep); then SPs + corp Mayors/Commissioners",Sources: district NIC + state Who's-Who portals. 36 names + 62 contacts. 722 of 785 DM offices filled (28 states/UTs).
28,2026-06-26,daily_collect,"District DMs filled: Goa (2), Puducherry (4), all UT districts (A&N 3, Chandigarh, DNH&DD 3, Ladakh 7, Lakshadweep) - names + contacts",52,0,5,completed,DISTRICT COLLECTOR LAYER ~COMPLETE (all 36 states/UTs). Remaining: ~42 blanks (reshuffle-unconfirmed) for weekly job; then SPs + corp Mayors/Commissioners,Sources: district/UT official sites. 21 names + 31 contacts. 743 of 785 District Collector/DM offices now have a named officer with office phone/email across ALL 36 states/UTs.
29,2026-06-26,daily_collect,Kerala Collectors (14) filled + SP LAYER STARTED: Maharashtra (34) + Uttar Pradesh (73) Superintendents/Commissioners of Police - names + office phone/email,364,14,0,completed,"Continue SPs: Gujarat, Rajasthan, MP, Karnataka, then remaining states; then corp Mayors/Commissioners",Sources: gad.kerala.gov.in (collectors); mahapolice.gov.in + uppolice.gov.in (SPs). 121 names + 243 contacts. DM layer now 757/785; SP layer 107/785. City/Rural police commissionerates collapsed to one SP office per district.
30,2026-06-26,daily_collect,"SPs filled: Gujarat (32) + Rajasthan (36) - names + office phone (most emails blank, official IDs not public-confirmed)",91,0,0,completed,"Continue SPs: MP, Karnataka, TN, Telangana, AP, then remaining; then corp Mayors/Commissioners","Sources: state police sites + IPS posting lists. 68 SP names + 91 contacts. SP layer now 175/785. Gujarat emails mostly blank (only Junagadh official-confirmed); a few names blank (Ahmedabad CP, Jaisalmer, Jalore) pending 2026 reshuffle confirmation."
31,2026-06-26,daily_collect,SPs filled: Madhya Pradesh (51) + Karnataka (28) - names + office phone/email,158,0,0,completed,"Continue SPs: TN, Telangana, AP, Bihar, WB, Odisha, Punjab, Haryana, Assam, NE; then corp Mayors/Commissioners","Sources: mppolice.gov.in, ksp.karnataka.gov.in + district sites. 79 SP names + 100 contacts. SP layer now 254/785 (6 states: MH UP GJ RJ MP KA). Several MP names blank (Harda, Panna, Niwari) pending confirmation."
32,2026-06-26,daily_collect,SPs filled: Andhra Pradesh (26) - names + office phone/email,70,0,0,completed,"Continue SPs: TN, Telangana, Bihar, WB, Odisha, Punjab, Haryana, Assam, NE states; then corp Mayors/Commissioners",Source: appolice.gov.in + district police sites. 26 SP names + 44 contacts. SP layer now 280/785 (7 states). TN & Telangana SP subagents were interrupted - retry next run.
33,2026-06-26,daily_collect,"SPs filled WITH NAMES: Tamil Nadu (36), Telangana (27), Bihar (38), West Bengal (22)",123,0,0,completed,"Continue SPs: Odisha, Punjab, Haryana, Assam, Jharkhand, Chhattisgarh, Kerala, HP, Uttarakhand, J&K, NE states, Delhi, Goa, UTs; then corp Mayors/Commissioners","Sources: erolls.tn.gov.in, telangana.gov.in district officials, Bihar Home Dept list, wb.gov.in SP list. 123 SP names + 168 contacts. SP layer now 403/785 (11 states). Commissionerate-only districts (Rangareddy, Medchal, Paschim Bardhaman) left without single SP by design."
34,2026-06-26,daily_collect,"SPs filled WITH NAMES: Odisha (30), Punjab (22), Haryana (21), Assam (35)",108,0,0,completed,"Continue SPs: Jharkhand, Chhattisgarh, Kerala, HP, Uttarakhand, J&K, Delhi, Goa, NE states, Sikkim, Puducherry, UTs; then corp Mayors/Commissioners","Sources: police.odisha.gov.in, punjabpolice.gov.in, haryanapolice.gov.in range directories, police.assam.gov.in. 108 SP names + 200 contacts. SP layer now 511/785 (15 states)."
35,2026-06-26,daily_collect,"SPs filled WITH NAMES: Jharkhand (24), Chhattisgarh (30), Kerala (14), Himachal (12)",80,0,0,completed,"Continue SPs: Uttarakhand, J&K, Delhi, Goa, Tripura, Manipur, Meghalaya, Nagaland, Mizoram, Arunachal, Sikkim, Puducherry, UTs; then corp Mayors/Commissioners","Sources: jhpolice.gov.in, cgpolice.gov.in + district sites, keralapolice.gov.in, hppolice.gov.in. 80 SP names + 128 contacts. SP layer now 591/785 (19 states). 3 CG districts (Kawardha, MMC, Sarangarh-Bilaigarh) left blank - unconfirmed."
36,2026-06-26,daily_collect,"SPs/DCPs filled WITH NAMES: Uttarakhand (10), J&K (19), Delhi (10 DCPs), Goa (2)",41,0,0,completed,"Continue SPs: Tripura, Manipur, Meghalaya, Nagaland, Mizoram, Arunachal, Sikkim, Puducherry, 5 small UTs; then corp Mayors/Commissioners; then 28 remaining DM gaps","Sources: uttarakhandpolice.uk.gov.in, jkpolice.gov.in, delhipolice.gov.in Manual-9, citizen.goapolice.gov.in. 41 names + 41 contacts. SP layer now 632/785 (23 states/UTs). Delhi uses DCP per police district (only 11 revenue districts mapped; Outer/Dwarka/Rohini are police-only). Blanks left: UK Tehri/Chamoli/Uttarkashi, JK Bandipora, DL North."
37,2026-06-26,daily_collect,"SPs filled: Sikkim (5), Puducherry (2)",7,0,0,completed,Continue NE states + small UTs (3 subagents hit session limit); then corp Mayors/Commissioners,"Sources: police.sikkim.gov.in, police.py.gov.in. 7 names + 11 contacts. SP layer 639/785. 3 of 4 subagents hit session limit (reset 3:40am) - NE states + small UTs queued."
38,2026-06-26,daily_collect,"SPs filled WITH NAMES: Tripura(8), Manipur(16), Meghalaya(12), Nagaland(16), Mizoram(7), Arunachal(25), Chandigarh(1), A&N(3), DNH&DD(3), Ladakh(2), Lakshadweep(1)",94,0,0,completed,SP LAYER COMPLETE across all 36 states/UTs (733/785; ~52 blanks are unconfirmed/new districts). NEXT: 238 city Mayor + Municipal Commissioner names; then ~28 remaining DM gaps,"Sources: state police sites + district NIC + 2026 IPS reshuffle news (tripura/manipur/meg police, ipr.nagaland, police.mizoram, arunpol, chandigarhpolice, and.nic.in, police.ddd, police.ladakh, lakshadweeppolice). 94 SP names + 147 contacts. SP layer now 733/785 - every state/UT attempted."
39,2026-06-26,daily_collect,"LOCAL BODIES layer started: Mayors + Municipal Commissioners for MH(27),TN,TG,WB,DL,UP,MP,Bihar,AP corps",204,0,0,completed,"Continue Mayors/Commissioners: Gujarat(14), Punjab(14), Haryana(11), Chhattisgarh(10), Rajasthan(9), Jharkhand(7), Uttarakhand(7), Odisha(6), Kerala(6), Himachal(5), Assam(3), J&K(2), NE(5); add missing Karnataka corps; fill Shahjahanpur+Katni; then ~28 DM gaps","Sources: official corporation sites + state urban dept + 2026 poll/IAS-transfer news. 90 Mayor names + 114 Commissioner names + 172 corp contacts. Mayors 90/238, Commissioners 114/238. NOTE: many corps under Administrator/Special Officer have NO elected mayor (all AP, most WB, some TG) - left blank by design. Maharashtra mayors from Jan-2026 polls = lower confidence (0.45), verify. Unmatched: researched wrong city for 2 slots (Shahjahanpur UP, Katni MP are the real corps)."
40,2026-06-26,daily_collect,"Added 12 KARNATAKA city corporations as bodies (BBMP, Hubballi-Dharwad, Mysuru, Mangaluru, Belagavi, Kalaburagi, Davanagere-Harihar, Ballari, Vijayapura, Tumakuru, Shivamogga, Raichur) + Mayor/Commissioner positions; filled names",9,0,0,completed,"Continue Mayors/Commissioners: Gujarat, Punjab, Haryana, Chhattisgarh, Rajasthan, Jharkhand, Uttarakhand, Odisha, Kerala, Himachal, Assam, J&K, NE; fill Shahjahanpur+Katni; then ~28 DM gaps","Karnataka was a structural hole (0 corps). Added 12 bodies + 24 positions (Mayor+Commissioner each), wired Commissioners to report to district Collector. Filled 3 mayors + 6 commissioners (incl BBMP Chief Commissioner Maheshwar Rao M). Rest blank: Karnataka councils under Administrator, no elected mayors. Corp totals now 250 Mayor + 250 Commissioner positions. Mayors 93/250, Commissioners 120/250."
42,2026-06-30,daily_collect,"DM GAP FILL wave 1: filled 11 blank District Collector/Magistrate names from Wikipedia - Vizianagaram(AP), Madhubani(BR), Jashpur(CG), Valsad(GJ), Giridih(JH), Gwalior(MP), Alirajpur(MP), Mandla(MP), Chengalpattu(TN), Kallakurichi(TN), Tenkasi(TN)",11,0,0,completed,"17 DM blanks remain: Koriya(CG), Junagadh(GJ), Mahisagar(GJ), Surat(GJ), Hansi(HR), Jamtara(JH), Bengaluru North(KA), Bengaluru South(KA), Dewas(MP), Kakching(MN), Kamjong(MN), West Garo Hills(ML), West Khasi Hills(ML), Ri-Bhoi(ML), Virudhunagar(TN), Kolkata(WB-no DM by design)","Sources: district Wikipedia pages (varied freshness). 11 persons (IDs 2489-2499), 11 appointments (IDs 2493-2503) added. DM appointments now 768/785 (97.8%). ~16 real gaps remain across 8 states - mostly unlisted on Wikipedia; need district .nic.in sites."
43,2026-06-30,daily_collect,"PHASE 2 start: Union ministry Secretaries - added Finance Secretary (Ajay Seth), Defence Secretary (Rajesh Kumar Singh), Foreign Secretary (Vikram Misri), MoRTH Secretary (V Umashankar), MoHFW Secretary (Punya Salila Srivastava), Railway Board Chairman (Satish Kumar) + 10 positions created (3 more filled, 7 positions awaiting person names)",16,0,0,completed,"Continue PHASE 2: research & fill remaining ~30 ministry Secretaries (Education, Commerce, Power, Communications, Agriculture, Civil Aviation, Labour positions already created - need names). Then Additional/Joint Secretaries + official ministry contacts","Sources: List of office-holders in GoI (Wikipedia), individual ministry pages. 6 ministry Secretaries now filled (Home Secy was pre-existing). 7 more positions created pending person research. Total Phase 2: 9 Sec-level positions filled out of 36 ministries (25%)."
44,2026-07-18,daily_collect,Mayor NAME fill wave: filled 101 empty mayor seats; marked 56 vacant (Administrator/Special Officer / pending mayoral poll),101,56,0,completed,Fill Municipal Commissioner names for remaining empty commissioner seats; verify Pathankot/Hoshiarpur mayors after pending house elections,"Sources: state MC official sites + May/June/July 2026 civic-poll news (Gujarat, Punjab, Haryana, HP, Kerala, MH, JH, UK). Vacant by design: AP Special Officers, WB administrators post-2026 board dissolution, RJ pending ULB polls, TG/JK SO, several KA corps without elected council, Odisha Rourkela/Sambalpur/Puri, Silchar/Imphal, Pathankot hung house, Hoshiarpur post-poll mayoral election pending. Duplicate KA Belagavi/Kalaburagi stubs both wired to same mayor person."
45,2026-07-18,daily_collect,DM+SP gap fill: named 17 remaining district heads; marked 5 structurally vacant (Kolkata DM + Telangana commissionerate SP stubs),17,5,0,completed,Fill Municipal Commissioner names; verify Mizoram Lawngtlai/Saitual SP successors after mid-Jul 2026 AGMUT transfers,"DM: Bengaluru North (Dr K.N. Anuradha), Bengaluru South (Yeshwanth V. Gurukar); Kolkata DM vacant by design. SP fills: Keyi Panyor, Bengaluru North/South, Niwari, Panna, Mizoram Hnahthial/Lawngtlai/Saiha/Saitual, Meluri, Ladakh Zanskar/Drass/Sham/Nubra/Changthang. Vacant SP stubs: Jangaon, Hanumakonda, Medchal-Malkajgiri, Ranga Reddy (commissionerate policing)."
46,2026-07-25,daily_collect,Union Cabinet — Minister of Education succession (Pradhan -> Joshi),1,5,0,completed,Continue weekly verification of Union Council of Ministers portfolios,Dharmendra Pradhan resigned from Union Council of Ministers (2026-07-25). Pralhad Joshi assigned additional charge of Ministry of Education while retaining Consumer Affairs / Food & PD and New & Renewable Energy. Source: The Hindu / Rashtrapati Bhavan statement.
